date,from state,to state
5/8/20140:00,UP,DOWN
5/19/20140:00,UP,DOWN
5/21/20140:00,UP,DOWN
5/23/20140:00,UP,UP
5/24/20140:00,UP,UP
5/25/20140:00,UP,DOWN
5/29/20140:00,UP,UP
5/30/20140:00,UP,DOWN
6/1/20140:00,UP,UP
6/2/20140:00,UP,DOWN
6/4/20140:00,UP,DOWN
6/6/20140:00,UP,DOWN
6/12/20140:00,UP,DOWN
6/14/20140:00,UP,DOWN
6/16/20140:00,UP,DOWN
6/21/20140:00,UP,DOWN
6/25/20140:00,UP,UP
6/26/20140:00,UP,DOWN
6/28/20140:00,UP,UP
6/29/20140:00,UP,DOWN
7/1/20140:00,UP,DOWN
7/10/20140:00,UP,DOWN
7/16/20140:00,UP,DOWN
7/30/20140:00,UP,UP
7/31/20140:00,UP,DOWN
8/15/20140:00,UP,DOWN
8/18/20140:00,UP,UP
8/19/20140:00,UP,DOWN
8/23/20140:00,UP,DOWN
8/25/20140:00,UP,DOWN
