date,from state,to state
11/17/2013 0:00, UP, DOWN
11/19/2013 0:00, UP, UP
11/20/2013 0:00, UP, UP
11/21/2013 0:00, UP, UP
11/22/2013 0:00, UP, DOWN
11/24/2013 0:00, UP, UP
11/25/2013 0:00, UP, UP
11/26/2013 0:00, UP, UP
11/27/2013 0:00, UP, UP
11/28/2013 0:00, UP, DOWN
12/1/2013 0:00, UP, DOWN
12/3/2013 0:00, UP, DOWN
12/7/2013 0:00, UP, UP
12/8/2013 0:00, UP, UP
12/9/2013 0:00, UP, DOWN
12/18/2013 0:00, UP, DOWN
12/22/2013 0:00, UP, DOWN
12/25/2013 0:00, UP, DOWN
1/1/2014 0:00, UP, DOWN
1/3/2014 0:00, UP, UP
1/4/2014 0:00, UP, DOWN
1/7/2014 0:00, UP, DOWN
1/10/2014 0:00, UP, DOWN
1/18/2014 0:00, UP, DOWN
1/24/2014 0:00, UP, DOWN
2/13/2014 0:00, UP, DOWN
2/20/2014 0:00, UP, UP
2/21/2014 0:00, UP, DOWN
2/25/2014 0:00, UP, DOWN
2/28/2014 0:00, UP, DOWN
