date,from state,to state
11/22/2014 0:00, UP, UP
11/23/2014 0:00, UP, DOWN
12/18/2014 0:00, UP, UP
12/19/2014 0:00, UP, DOWN
12/21/2014 0:00, UP, DOWN
12/25/2014 0:00, UP, DOWN
12/30/2014 0:00, UP, DOWN
1/4/2015 0:00, UP, UP
1/5/2015 0:00, UP, UP
1/6/2015 0:00, UP, DOWN
1/14/2015 0:00, UP, DOWN
1/17/2015 0:00, UP, DOWN
1/20/2015 0:00, UP, UP
1/21/2015 0:00, UP, DOWN
1/23/2015 0:00, UP, UP
1/24/2015 0:00, UP, UP
1/25/2015 0:00, UP, DOWN
1/31/2015 0:00, UP, UP
2/1/2015 0:00, UP, DOWN
2/5/2015 0:00, UP, UP
2/6/2015 0:00, UP, DOWN
2/12/2015 0:00, UP, UP
2/13/2015 0:00, UP, DOWN
2/16/2015 0:00, UP, DOWN
2/26/2015 0:00, UP, DOWN
2/28/2015 0:00, UP, UP
3/1/2015 0:00, UP, UP
3/2/2015 0:00, UP, DOWN
3/8/2015 0:00, UP, DOWN
3/21/2015 0:00, UP, DOWN
