date,from state,to state
6/20/20150:00,DOWN,UP
6/22/20150:00,DOWN,DOWN
6/23/20150:00,DOWN,DOWN
6/24/20150:00,DOWN,DOWN
6/25/20150:00,DOWN,UP
6/27/20150:00,DOWN,UP
6/30/20150:00,DOWN,DOWN
7/1/20150:00,DOWN,DOWN
7/2/20150:00,DOWN,UP
7/5/20150:00,DOWN,DOWN
7/6/20150:00,DOWN,UP
7/8/20150:00,DOWN,UP
7/12/20150:00,DOWN,DOWN
7/13/20150:00,DOWN,DOWN
7/14/20150:00,DOWN,DOWN
7/15/20150:00,DOWN,DOWN
7/16/20150:00,DOWN,DOWN
7/17/20150:00,DOWN,DOWN
7/18/20150:00,DOWN,UP
7/20/20150:00,DOWN,DOWN
7/21/20150:00,DOWN,DOWN
7/22/20150:00,DOWN,UP
7/24/20150:00,DOWN,UP
7/26/20150:00,DOWN,DOWN
7/27/20150:00,DOWN,DOWN
7/28/20150:00,DOWN,DOWN
7/29/20150:00,DOWN,DOWN
7/30/20150:00,DOWN,DOWN
7/31/20150:00,DOWN,DOWN
8/1/20150:00,DOWN,DOWN
