date,from state,to state
4/8/20130:00,UP,DOWN
4/16/20130:00,UP,UP
4/17/20130:00,UP,UP
4/18/20130:00,UP,UP
4/19/20130:00,UP,DOWN
4/21/20130:00,UP,UP
4/22/20130:00,UP,UP
4/23/20130:00,UP,DOWN
4/27/20130:00,UP,UP
4/28/20130:00,UP,DOWN
5/3/20130:00,UP,DOWN
5/9/20130:00,UP,DOWN
5/16/20130:00,UP,DOWN
5/23/20130:00,UP,DOWN
6/9/20130:00,UP,DOWN
6/17/20130:00,UP,DOWN
7/6/20130:00,UP,DOWN
7/9/20130:00,UP,UP
7/10/20130:00,UP,DOWN
8/20/20130:00,UP,DOWN
8/26/20130:00,UP,DOWN
8/29/20130:00,UP,UP
8/30/20130:00,UP,DOWN
10/2/20130:00,UP,DOWN
10/14/20130:00,UP,DOWN
10/17/20130:00,UP,UP
10/18/20130:00,UP,DOWN
10/20/20130:00,UP,UP
10/21/20130:00,UP,UP
10/22/20130:00,UP,DOWN
