date,from state,to state
10/26/2013 0:00, UP, DOWN
10/28/2013 0:00, UP, DOWN
11/3/2013 0:00, UP, UP
11/4/2013 0:00, UP, UP
11/5/2013 0:00, UP, UP
11/6/2013 0:00, UP, UP
11/7/2013 0:00, UP, DOWN
11/10/2013 0:00, UP, UP
11/11/2013 0:00, UP, UP
11/12/2013 0:00, UP, UP
11/13/2013 0:00, UP, DOWN
11/15/2013 0:00, UP, UP
11/16/2013 0:00, UP, UP
11/17/2013 0:00, UP, DOWN
11/19/2013 0:00, UP, UP
11/20/2013 0:00, UP, UP
11/21/2013 0:00, UP, DOWN
11/25/2013 0:00, UP, UP
11/26/2013 0:00, UP, UP
11/27/2013 0:00, UP, UP
11/28/2013 0:00, UP, DOWN
12/1/2013 0:00, UP, DOWN
12/3/2013 0:00, UP, DOWN
12/7/2013 0:00, UP, UP
12/8/2013 0:00, UP, UP
12/9/2013 0:00, UP, DOWN
12/18/2013 0:00, UP, DOWN
12/22/2013 0:00, UP, DOWN
12/25/2013 0:00, UP, DOWN
1/1/2014 0:00, UP, DOWN
